blomen_essential,gene
TRUE,Apc
FALSE,Msi1
FALSE,Hnf1a
FALSE,Tbx3
FALSE,Cd36
FALSE,Htr1b
FALSE,Syncrip
FALSE,Epha7
FALSE,Map3k7
TRUE,Phf21a
FALSE,Itga7
FALSE,Tfcp2
TRUE,Hnrnpa1
FALSE,Ahi1
FALSE,Reps1
FALSE,Gns
TRUE,Dhx9
FALSE,Sp110
FALSE,Chrnd
FALSE,Pax3
FALSE,Htr2b
FALSE,Serpine2
FALSE,Armc9
FALSE,Tsga10
FALSE,Edar
FALSE,Gpr45
FALSE,Plxnc1
FALSE,Flnb
FALSE,Lrch1
FALSE,Sucla2
FALSE,Itm2b
FALSE,Ednrb
TRUE,Rac1
FALSE,Nkx2-1
FALSE,Zfhx2
FALSE,Ireb2
TRUE,Srsf1
FALSE,Vezf1
FALSE,Scn2a
FALSE,Tbr1
FALSE,Gata4
FALSE,Bin1
FALSE,Gad2
TRUE,Yme1l1
FALSE,Stxbp1
FALSE,Tlr4
FALSE,Gabbr2
FALSE,Nr5a1
FALSE,Myc
FALSE,Tfap2a
FALSE,Hcrtr2
FALSE,Tubb2a
FALSE,Tlr2
FALSE,Nek1
FALSE,Sorl1
FALSE,Rdx
TRUE,Alkbh8
FALSE,Unc13c
FALSE,Mapkbp1
FALSE,Smad6
FALSE,Adam10
FALSE,Stra6
FALSE,Zfp280d
FALSE,Adcy3
TRUE,Pnpt1
FALSE,Lhcgr
FALSE,Prepl
TRUE,Fbxo11
FALSE,Six3
TRUE,Lrpprc
FALSE,Lbx1
FALSE,Atad1
TRUE,Kif11
FALSE,Arl3
FALSE,Dnajc13
FALSE,Fam149b
FALSE,Stat4
FALSE,Hecw2
FALSE,Chrna1
FALSE,Sppl2a
FALSE,Sec31a
FALSE,Bmpr1b
FALSE,Prdm5
FALSE,Scarb2
FALSE,Ppp3ca
FALSE,Mttp
FALSE,Etv6
FALSE,Kif21a
FALSE,Fgd4
FALSE,Prickle1
TRUE,Ndufa9
FALSE,Vamp1
FALSE,Cd27
FALSE,Col2a1
FALSE,Pdx1
FALSE,Acvrl1
FALSE,Smarcc2
FALSE,Lpar6
FALSE,Rb1
FALSE,Esr2
FALSE,Kcnh5
FALSE,Tcf12
FALSE,Etfa
FALSE,Tpm1
